name,easting_m,northing_m,working_platform_level_m,diameter_m,total_length_m,zone_name,,,,,,
CMC-276,502976.761,2443901.935,6.25,0.6,16,Boundary Wall,,,,,,
CMC-277,502975.767,2443903.671,6.25,0.6,16,Boundary Wall,,,,,,
CMC-298,502954.883,2443940.113,6.25,0.6,16,Boundary Wall,,,,,,
CMC-299,502953.889,2443941.849,6.25,0.6,16,Boundary Wall,,,,,,
CMC-300,502952.894,2443943.584,6.25,0.6,16,Boundary Wall,,,,,,
CMC-301,502951.9,2443945.319,6.25,0.6,16,Boundary Wall,,,,,,
CMC-302,502950.905,2443947.055,6.25,0.6,16,Boundary Wall,,,,,,
CMC-303,502981.48,2443897.724,6.25,0.6,16,Boundary Wall,,,,,,
CMC-304,502980.486,2443899.459,6.25,0.6,16,Boundary Wall,,,,,,
CMC-305,502979.491,2443901.194,6.25,0.6,16,Boundary Wall,,,,,,
CMC-306,502978.497,2443902.93,6.25,0.6,16,Boundary Wall,,,,,,
CMC-307,502977.502,2443904.665,6.25,0.6,16,Boundary Wall,,,,,,
CMC-328,502956.619,2443941.108,6.25,0.6,16,Boundary Wall,,,,,,
CMC-329,502955.624,2443942.843,6.25,0.6,16,Boundary Wall,,,,,,
CMC-330,502954.63,2443944.579,6.25,0.6,16,Boundary Wall,,,,,,
CMC-331,502953.635,2443946.314,6.25,0.6,16,Boundary Wall,,,,,,
CMC-332,502952.641,2443948.049,6.25,0.6,16,Boundary Wall,,,,,,
CMC-338,502983.216,2443898.718,6.25,0.6,16,Boundary Wall,,,,,,
CMC-339,502982.221,2443900.454,6.25,0.6,16,Boundary Wall,,,,,,
CMC-340,502981.227,2443902.189,6.25,0.6,16,Boundary Wall,,,,,,
CMC-359,502958.354,2443942.102,6.25,0.6,16,Boundary Wall,,,,,,
CMC-360,502957.36,2443943.838,6.25,0.6,16,Boundary Wall,,,,,,
CMC-369,502984.951,2443899.713,6.25,0.6,16,Boundary Wall,,,,,,
CMC-370,502983.957,2443901.448,6.25,0.6,16,Boundary Wall,,,,,,
CMC-371,502982.962,2443903.184,6.25,0.6,16,Boundary Wall,,,,,,
CMC-390,502960.09,2443943.097,6.25,0.6,16,Boundary Wall,,,,,,
CMC-391,502959.095,2443944.832,6.25,0.6,16,Boundary Wall,,,,,,
CMC-400,502986.687,2443900.707,6.25,0.6,16,Boundary Wall,,,,,,
CMC-401,502985.693,2443902.443,6.25,0.6,16,Boundary Wall,,,,,,
CMC-402,502984.698,2443904.178,6.25,0.6,16,Boundary Wall,,,,,,
CMC-421,502961.825,2443944.092,6.25,0.6,16,Boundary Wall,,,,,,
CMC-422,502960.831,2443945.827,6.25,0.6,16,Boundary Wall,,,,,,
CMC-431,502988.423,2443901.702,6.25,0.6,16,Boundary Wall,,,,,,
CMC-432,502987.428,2443903.437,6.25,0.6,16,Boundary Wall,,,,,,
CMC-433,502986.434,2443905.173,6.25,0.6,16,Boundary Wall,,,,,,
